Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,log_rtn,ma14,rsi14,ma50,rsi50,ma200,rsi200,vol_1d_change,vol_1d_change_ma10,1d_future_log_rtn,log_rtn_lag_0,log_rtn_lag_1,log_rtn_lag_2,log_rtn_lag_3,log_rtn_lag_4,log_rtn_lag_5,log_rtn_lag_6,log_rtn_lag_7,log_rtn_lag_8,log_rtn_lag_9,log_rtn_lag_10,log_rtn_lag_11,log_rtn_lag_12,log_rtn_lag_13,log_rtn_lag_14,month,month_sin,month_cos,1d_future_month,1d_future_month_sin,1d_future_month_cos
2000-02-16,54.75,54.81,54.25,54.44,233900.0,0.0,1.0,43.451600139262,43.499218331196,43.05478187315,43.205572814273,233900.0,-0.006773481274762701,44.6896731295317,46.55415359228989,,,,,-0.5675849270470181,-0.10303520626745807,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,0.08032990719301379,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-17,54.75,55.75,54.06,55.03,439500.0,0.0,1.0,43.451600139262,44.245236671486,42.903990932028,43.673818368285,439500.0,0.010779313288398916,44.627315973428416,48.42091927655942,,,,,0.6307440435350984,0.03908959871211798,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,-0.028452920447799037,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-18,55.0,55.12,49.62,49.88,1174700.0,0.0,1.0,43.650009272318,43.745245656185,39.380244728953,39.586590227332,1174700.0,-0.09825837025982051,44.10294897892334,36.45236983385432,,,,,0.9831303577046085,0.1586463872168788,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,0.052067980878633006,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-22,50.06,51.19,48.88,51.13,706100.0,0.0,1.0,39.729444803132,40.626254084545,38.792953695108,40.578635892612,706100.0,0.02475128828007272,43.61429562836833,40.30897344126074,,,,,-0.5090112043075391,0.060833337295150294,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,0.010430780978884488,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-23,51.06,51.25,49.31,50.63,433000.0,0.0,1.0,40.523081335356,40.673872276478,39.134217403964,40.1818176265,433000.0,-0.00982712311009029,43.16078903852612,39.28203526344145,,,,,-0.4890191425198114,0.016810439460112358,0.0049256330500490626,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,-0.018922679835499782,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-24,50.78,51.56,50.44,50.88,821900.0,0.0,1.0,40.300863106333,40.919899601468,40.031026685377,40.380226759556,821900.0,0.0049256330500490626,42.760569472990326,40.1037048450099,,,,,0.6408810051519644,-0.01297830452776616,-0.017446913603718212,0.0049256330500490626,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,-0.01183851863490768,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-25,50.88,50.88,49.88,50.0,338300.0,0.0,1.0,40.380226759556,40.380226759556,39.586590227332,39.681826611199,338300.0,-0.017446913603718212,42.45955447398254,38.14681819547633,,,,,-0.8876856573677915,-0.006909139850806667,0.0295588022415205,-0.017446913603718212,0.0049256330500490626,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,-0.04645426833461666,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-28,49.97,52.66,49.69,51.5,1029200.0,0.0,1.0,39.658017515232,41.792899786914,39.435799286209,40.872281409534,1029200.0,0.0295588022415205,42.24697325999397,43.231694324386716,,,,,1.1126040046209262,0.08299597261991024,0.029841541039918044,0.0295588022415205,-0.017446913603718212,0.0049256330500490626,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,-0.0010853836087371964,2,0.8660254037844386,0.5000000000000001,2.0,0.8660254037844386,0.5000000000000001
2000-02-29,51.75,53.25,51.0,53.06,415700.0,0.0,1.0,41.07069054259,42.261145340926,40.475463143422,42.110354399804,415700.0,0.029841541039918044,41.96353164134255,48.01788807287915,,,,,-0.9065732341489974,0.07346509887308536,-0.04569469622534037,0.029841541039918044,0.0295588022415205,-0.017446913603718212,0.0049256330500490626,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,0.049608618198636004,2,0.8660254037844386,0.5000000000000001,3.0,1.0,6.123233995736766e-17
2000-03-01,53.0,53.19,50.5,50.69,786900.0,0.0,1.0,42.06273620787,42.213527148993,40.07864487731,40.229435818433,786900.0,-0.04569469622534037,41.71183548398012,42.19717548056087,,,,,0.638137329282346,0.06456225749037862,0.014687427445106496,-0.04569469622534037,0.029841541039918044,0.0295588022415205,-0.017446913603718212,0.0049256330500490626,-0.00982712311009029,0.02475128828007272,-0.09825837025982051,0.010779313288398916,-0.006773481274762701,0.012484098249131406,-0.010292316549785057,-0.004560803308446498,-0.003452351934451867,-0.051782925994908795,3,1.0,6.123233995736766e-17,3.0,1.0,6.123233995736766e-17
